Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
2/22/2017,18.687332,18.896667,18.173332,18.233999,18.233999,131325000,0.024259,0.039802,1,0,0,-0.013988
2/23/2017,17.6,17.643999,17.037333,17.066,17.066,223728000,0.030341,0.035608,0,0,1,-0.064056
2/24/2017,16.844,17.216667,16.68,17.133333,17.133333,122574000,-0.017177,0.032174,1,0,0,0.003945
2/27/2017,16.544666,16.557333,16.134001,16.415333,16.415333,171912000,0.007817,0.026239,0,0,1,-0.041907
2/28/2017,16.279333,16.733334,16.26,16.666,16.666,91171500,-0.023752,0.02911,0,1,1,0.01527
3/1/2017,16.945333,16.99,16.607332,16.667999,16.667999,72142500,0.016366,0.023042,0,0,1,0.00012
3/2/2017,16.647333,16.885332,16.551332,16.698668,16.698668,50277000,-0.003084,0.02018,0,1,1,0.00184
3/3/2017,16.716,16.793333,16.6,16.771334,16.771334,43791000,-0.00331,0.011647,1,0,0,0.004352
3/6/2017,16.527332,16.780001,16.500668,16.747334,16.747334,50332500,-0.013311,0.016929,1,1,0,-0.001431
3/7/2017,16.794666,16.926001,16.554667,16.572666,16.572666,51892500,0.013218,0.022431,1,0,0,-0.01043
3/8/2017,16.466667,16.671333,16.354668,16.458,16.458,55878000,0.000526,0.019362,1,1,0,-0.006919
3/9/2017,16.508667,16.577333,16.200001,16.326668,16.326668,58189500,0.011024,0.023292,0,0,0,-0.00798
3/10/2017,16.414,16.433332,16.200001,16.246,16.246,45994500,0.010235,0.014403,0,0,1,-0.004941
3/13/2017,16.321333,16.456667,16.185333,16.411333,16.411333,45339000,-0.005514,0.016764,1,1,1,0.010177
3/14/2017,16.407333,17.208,16.401333,17.200001,17.200001,113976000,-0.048312,0.049183,0,1,0,0.048056
3/15/2017,17.133333,17.4,16.951332,17.048668,17.048668,79962000,0.004942,0.026468,1,1,1,-0.008798
3/16/2017,17.493334,17.716667,17.270666,17.469999,17.469999,106983000,0.001334,0.025824,0,1,0,0.024713
3/17/2017,17.6,17.688667,17.413334,17.433332,17.433332,97462500,0.00947,0.015812,0,0,1,-0.002099
3/20/2017,17.373333,17.636667,17.254667,17.461332,17.461332,54214500,-0.005065,0.022139,1,1,0,0.001606
3/21/2017,17.521999,17.653334,16.682667,16.712,16.712,103629000,0.046228,0.058184,0,0,1,-0.042914
3/22/2017,16.770666,17.004667,16.700666,17.000668,17.000668,60889500,-0.013715,0.018203,0,1,0,0.017273
3/23/2017,17.025999,17.177999,16.886667,16.985332,16.985332,49803000,0.002388,0.017252,1,1,1,-0.000902
3/24/2017,17.046667,17.592667,17.000668,17.544001,17.544001,84709500,-0.029175,0.034822,1,1,1,0.032891
3/27/2017,17.373333,18.038,17.316668,18.014668,18.014668,93462000,-0.036915,0.041655,1,1,1,0.026828
3/28/2017,18.468,18.712,18.333332,18.496668,18.496668,119814000,-0.001552,0.020655,0,1,0,0.026756
3/29/2017,18.556,18.639999,18.369333,18.492001,18.492001,55143000,0.003449,0.014735,1,0,1,-0.000252
3/30/2017,18.535999,18.799999,18.480667,18.528,18.528,62226000,0.000432,0.017279,0,1,1,0.001947
3/31/2017,18.582001,18.645332,18.421333,18.553333,18.553333,49419000,0.001543,0.01216,1,1,1,0.001367
4/3/2017,19.126667,19.933332,18.972,19.901333,19.901333,208329000,-0.040502,0.050671,0,1,1,0.072655
4/4/2017,19.792667,20.320667,19.635332,20.246668,20.246668,152019000,-0.022938,0.034903,0,1,0,0.017352
4/5/2017,20.136,20.325333,19.613333,19.666668,19.666668,118213500,0.023308,0.036302,0,0,1,-0.028647
4/6/2017,19.792,20.129333,19.606667,19.913334,19.913334,82809000,-0.00613,0.026658,0,1,1,0.012542
4/7/2017,19.833332,20.179333,19.809999,20.169333,20.169333,68694000,-0.016941,0.018644,1,1,1,0.012856
4/10/2017,20.610001,20.915333,20.580667,20.826,20.826,114967500,-0.01048,0.016261,0,1,0,0.032558
4/11/2017,20.892,20.898001,20.366667,20.580667,20.580667,85869000,0.014902,0.026088,1,0,0,-0.01178
4/12/2017,20.422667,20.563334,19.754667,19.789333,19.789333,90760500,0.031011,0.040935,1,0,1,-0.03845
4/13/2017,19.780001,20.492666,19.686666,20.266666,20.266666,139269000,-0.024604,0.040941,0,1,0,0.024121
4/17/2017,20.18,20.266666,19.912001,20.096001,20.096001,62080500,0.004163,0.017812,0,0,0,-0.008421
4/18/2017,19.98,20.056,19.860001,20.016666,20.016666,45535500,-0.001835,0.009869,1,1,1,-0.003948
4/19/2017,20.164,20.441334,20.140667,20.368,20.368,58470000,-0.010117,0.014928,1,1,0,0.017552
4/20/2017,20.434,20.610001,20.015333,20.167334,20.167334,92241000,0.01305,0.029711,0,0,1,-0.009852
4/21/2017,20.133333,20.426666,20.028,20.373333,20.373333,67647000,-0.011921,0.019905,1,1,1,0.010215
4/24/2017,20.614668,20.703333,20.401333,20.535334,20.535334,76252500,0.003848,0.014803,1,0,1,0.007952
4/25/2017,20.533333,20.931999,20.390667,20.919333,20.919333,101065500,-0.018799,0.026548,0,1,0,0.018699
4/26/2017,20.824667,20.966667,20.6,20.677999,20.677999,70425000,0.007043,0.017799,0,0,0,-0.011536
4/27/2017,20.779333,20.872667,20.5,20.575333,20.575333,52029000,0.009817,0.018179,1,0,1,-0.004965
4/28/2017,20.655333,20.986668,20.533333,20.938,20.938,67582500,-0.013685,0.022078,1,1,1,0.017626
5/1/2017,20.992001,21.816668,20.987333,21.521999,21.521999,132444000,-0.025248,0.039516,0,1,0,0.027892
5/2/2017,21.6,21.844,21.104,21.259333,21.259333,80742000,0.015772,0.035064,1,0,0,-0.012205
5/3/2017,21.177999,21.435333,20.696667,20.734667,20.734667,107001000,0.020934,0.03569,1,0,0,-0.024679
